Dataset,Method,Sensors,L2_mean,L2_std,RMSE_mean,RMSE_std,MSE_mean,MSE_std,Time_mean,n_runs
20221121,B2,3,0.4399476617574692,0.027708937783866152,14.168664384456571,0.8923780262652771,201.4677551269531,25.562563770835173,39.271153283119205,10
20221121,B2,4,0.3727527469396591,0.03195148388441076,12.004629247876652,1.0290072894364544,145.06409378051757,24.2649567683815,35.97015113830567,10
20221121,B2,5,0.3434344053268433,0.02718868475648606,11.060424913070028,0.8756228276316174,123.02304306030274,19.301942164599513,36.37623925209046,10
20221121,B2,6,0.32213342785835264,0.03253640652021527,10.374418796101912,1.0478465832581667,108.6167495727539,22.631704253760486,37.32670130729675,10
20221121,B2,7,0.2678506374359131,0.020281276191253972,8.62622087304034,0.6531656139242242,74.79564933776855,11.152950539739109,38.04727911949158,10
20221121,B3,3,0.2266393437981605,0.006889651999842393,7.299005042269046,0.22188474826098964,53.31978416442871,3.285896150379429,614.2584400653839,10
20221121,B3,4,0.1785751178860664,0.00919608572037465,5.751071070912492,0.29616306120191516,33.153759765625,3.4707260146310497,469.36057727336885,10
20221121,B3,5,0.16913631111383437,0.008626188825597202,5.44709348574202,0.27780918234106283,29.740287590026856,3.096428182038626,688.3055540323257,10
20221121,B3,6,0.16238183528184885,0.004923243377533349,5.229563652859564,0.15855515046379198,27.37096176147461,1.6486669258211144,514.8070123672485,10
20221121,B3,7,0.15616025924682614,0.010331138977572752,5.029195407858487,0.33271984776993935,25.392438697814942,3.4430314536085844,516.2770896911621,10
20221121,B4,3,0.21778212487697596,0.0020268251159386453,7.013752543693511,0.06527531751431798,49.196559524536134,0.9173833813829805,109.64860372543335,10
20221121,B4,4,0.17025347501039506,0.0018184986683870347,5.483069380190419,0.05856559992033205,30.067136764526367,0.6403071623875597,106.04509921073914,10
20221121,B4,5,0.16422567814588543,0.0017994546716518659,5.288943277364661,0.05795184004184073,27.975943565368652,0.6126845435638095,137.13158848285676,10
20221121,B4,6,0.16013940572738644,0.0014512074354397254,5.157344224163593,0.04673709700612531,26.600165367126465,0.4824617228208556,119.66872866153717,10
20221121,B4,7,0.14465720057487483,0.0010701157045312536,4.658730617146672,0.03446308840144295,21.70483989715576,0.3212100166668688,156.42840876579285,10
20221121,B5,3,0.21587327569723125,0.004145558427538635,6.9522757523448435,0.13351263559867396,48.35018119812012,1.839821219167861,213.88866305351257,10
20221121,B5,4,0.16747685372829438,0.0016369660981403742,5.393647507656917,0.05271922724147787,29.09393482208252,0.5716320262726138,205.596267414093,10
20221121,B5,5,0.162217703461647,0.0018579685985709144,5.224277052162089,0.0598363526140226,27.29629306793213,0.6271793599678731,239.93850984573365,10
20221121,B5,6,0.1570878505706787,0.002636138463506932,5.059069101112457,0.08489751983084318,25.600666999816895,0.8546824322462172,220.4904102087021,10
20221121,B5,7,0.1425928860902786,0.00288023375627682,4.5922489105657265,0.09275927717043103,21.096493911743163,0.853681980631339,396.890918636322,10
20221121,B6,3,0.2025824025273323,0.006236074729740975,6.524232876379426,0.2008346908298261,42.601915740966795,2.593925134979622,430.29791328907015,10
20221121,B6,4,0.15970947742462155,0.00391006626647571,5.14349641947829,0.12592533877965054,26.469826889038085,1.308391952470723,401.89777743816376,10
20221121,B6,5,0.15018853098154067,0.0014263737095355235,4.836868658933547,0.04593835984918598,23.397197723388672,0.444700088423888,476.73408167362214,10
20221121,B6,6,0.14863819181919094,0.0017613122289545707,4.786939739239882,0.05672468762235658,22.91768798828125,0.5427611363339848,517.3703407287597,10
20221121,B6,7,0.1394675582647323,0.0021374116284226447,4.491595573196384,0.06883558578926541,20.178695297241212,0.6154657014806103,399.2842760324478,10
20221121,B7,3,0.20691744983196253,0.0030645372765451917,6.663844590571283,0.09869539771954507,44.415591430664065,1.3160912540654817,392.4421076774597,10
20221121,B7,4,0.15842434018850327,0.002575236096584247,5.102108438979598,0.0829370723562821,26.037701225280763,0.8495223806696615,397.2215588092804,10
20221121,B7,5,0.15059982985258097,0.002850707056520022,4.850115604707268,0.09180950749937229,23.531207466125487,0.8770485114635138,582.8416082859039,10
20221121,B7,6,0.15091159790754313,0.0015941149568224648,4.8601563774798455,0.05134012236216679,23.62349224090576,0.49742443703967537,434.74106442928314,10
20221121,B7,7,0.14069954305887217,0.001929282530047715,4.531272749087476,0.06213289103889983,20.535907173156737,0.5640318284710987,518.8727190732956,10
20221122,B1,3,0.216119647026062,0.0,7.544825052365415,0.0,56.92438507080078,0.0,0.0,1
20221122,B1,4,0.1842664927244186,0.0,6.432807767809317,0.0,41.38101577758789,0.0,0.0,1
20221122,B1,5,0.1618754714727401,0.0,5.651136584444312,0.0,31.93534469604492,0.0,0.0,1
20221122,B1,6,0.1445029526948928,0.0,5.044656460788291,0.0,25.448558807373047,0.0,0.0,1
20221122,B1,7,0.1286492943763733,0.0,4.491192357505327,0.0,20.17080879211425,0.0,0.0,1
20221122,B2,3,0.4226416736841202,0.02768839144360998,14.754569867378857,0.9666120836012715,218.53823699951172,27.64370484158045,36.49137527942658,10
20221122,B2,4,0.38301996886730194,0.041945688430868225,13.371368086265443,1.4643401907217106,180.72334747314454,39.36304702020835,53.68822331428528,10
20221122,B2,5,0.3410048484802246,0.027906448594474286,11.90460633041213,0.9742224068202407,142.57385025024413,23.940433952129226,37.94014732837677,10
20221122,B2,6,0.3112744837999344,0.01751299301707492,10.86670702072362,0.6113870121612676,118.42173614501954,12.872344867240082,38.70594470500946,10
20221122,B2,7,0.2796385049819946,0.01313403803899804,9.762282436132491,0.458516393628776,95.4913719177246,9.040292621097484,40.70200936794281,10
20221122,B3,3,0.22355446666479106,0.0021491693793279872,7.804375704865208,0.07502842893006796,60.913346481323245,1.1750904266078812,471.04632153511045,10
20221122,B3,4,0.20083413422107693,0.0020539107484705272,7.011200080944013,0.07170448652316443,49.161553955078126,1.0019104283295084,735.1684167146683,10
