Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
20221129,B5,2048,6,0.2101316750049591,6.127552668307377,37.54690170288086,213.2584671974182,1,
20221129,B5,3000,6,0.2091182768344879,6.0980050123475005,37.185665130615234,212.5124180316925,1,
20221129,B5,4096,6,0.2171464562416076,6.332109868516409,40.09561538696289,212.54163193702695,1,
20221129,B5,5555,6,0.2114254385232925,6.165280607323645,38.010684967041016,213.5308129787445,1,
20221129,B5,7777,6,0.210009828209877,6.124001557851402,37.503395080566406,213.22104907035828,1,
20221129,B6,42,6,0.2038180977106094,5.943444418447587,35.32453155517578,488.1133961677551,3,"x=[0.000,0.307];x=[0.307,0.513];x=[0.513,1.000]"
20221129,B6,123,6,0.2018977105617523,5.887445132896874,34.662010192871094,664.5548343658447,4,"x=[0.000,0.307];x=[0.307,0.487];x=[0.487,0.834];x=[0.834,1.000]"
20221129,B6,456,6,0.2049833536148071,5.977424748871203,35.72960662841797,495.7302777767181,3,"x=[0.000,0.266];x=[0.266,0.447];x=[0.447,1.000]"
20221129,B6,789,6,0.200767770409584,5.85449699293485,34.2751350402832,490.8989298343658,3,"x=[0.000,0.312];x=[0.312,0.472];x=[0.472,1.000]"
20221129,B6,1024,6,0.1983652412891388,5.784436146945175,33.45970153808594,662.8587410449982,4,"x=[0.000,0.307];x=[0.307,0.492];x=[0.492,0.643];x=[0.643,1.000]"
20221129,B6,2048,6,0.2009036093950271,5.858454680327832,34.32149124145508,491.0829060077667,3,"x=[0.000,0.357];x=[0.357,0.638];x=[0.638,1.000]"
20221129,B6,3000,6,0.2047371566295623,5.97024437536784,35.64381790161133,672.2814960479736,4,"x=[0.000,0.307];x=[0.307,0.508];x=[0.508,0.850];x=[0.850,1.000]"
20221129,B6,4096,6,0.2058538794517517,6.002806960601848,36.03369140625,660.3640630245209,4,"x=[0.000,0.317];x=[0.317,0.487];x=[0.487,0.643];x=[0.643,1.000]"
20221129,B6,5555,6,0.2039516568183899,5.947338746471669,35.3708381652832,489.0377895832062,3,"x=[0.000,0.307];x=[0.307,0.482];x=[0.482,1.000]"
20221129,B6,7777,6,0.1993694454431533,5.8137186065069,33.79932403564453,656.6255023479462,4,"x=[0.000,0.226];x=[0.226,0.487];x=[0.487,0.643];x=[0.643,1.000]"
20221129,B7,42,6,0.2051436752080917,5.982098577209437,35.78550338745117,422.8454444408417,2,"x=[0.000,0.347];x=[0.347,1.000]"
20221129,B7,123,6,0.2058369368314743,6.002314756840526,36.02778244018555,427.8422181606293,2,"x=[0.000,0.850];x=[0.850,1.000]"
20221129,B7,456,6,0.2056728899478912,5.997529474895984,35.970359802246094,422.38725113868713,2,"x=[0.000,0.362];x=[0.362,1.000]"
20221129,B7,789,6,0.1988659352064132,5.79903566959763,33.628814697265625,425.9929151535034,2,"x=[0.000,0.347];x=[0.347,1.000]"
20221129,B7,1024,6,0.2057141363620758,5.99873306885683,35.984798431396484,425.8660905361176,2,"x=[0.000,0.342];x=[0.342,1.000]"
20221129,B7,2048,6,0.2016975134611129,5.881607884738191,34.59331130981445,428.1660554409027,2,"x=[0.000,0.850];x=[0.850,1.000]"
20221129,B7,3000,6,0.2038011699914932,5.942949223852995,35.31864547729492,424.2371726036072,2,"x=[0.000,0.372];x=[0.372,1.000]"
20221129,B7,4096,6,0.2066171020269394,6.025065517465025,36.301414489746094,422.23397397995,2,"x=[0.000,0.317];x=[0.317,1.000]"
20221129,B7,5555,6,0.1999977082014084,5.832039426170591,34.0126838684082,425.3768649101257,2,"x=[0.000,0.362];x=[0.362,1.000]"
20221129,B7,7777,6,0.2049842029809951,5.977449318907474,35.72990036010742,426.13630723953247,2,"x=[0.000,0.347];x=[0.347,1.000]"
20221129,B1,42,7,0.1731700897216797,5.0497369829934815,25.49984359741211,0.0,0,
20221129,B2,42,7,0.3411215841770172,9.947298797006834,98.9487533569336,36.319358110427856,1,
20221129,B2,123,7,0.344670295715332,10.050780111372848,101.01818084716795,37.47935152053833,1,
20221129,B2,456,7,0.297955721616745,8.688555536707648,75.49099731445312,36.53716540336609,1,
20221129,B2,789,7,0.3599341213703155,10.495883316298608,110.16356658935548,36.91532063484192,1,
20221129,B2,1024,7,0.3275345265865326,9.551085996544,91.2232437133789,36.05908966064453,1,
20221129,B2,2048,7,0.3415144383907318,9.958748227551776,99.17666625976562,37.8305869102478,1,
20221129,B2,3000,7,0.3896357119083404,11.361993417054055,129.0948944091797,36.13597083091736,1,
20221129,B2,4096,7,0.343683511018753,10.022005283613913,100.44058990478516,36.828598499298096,1,
20221129,B2,5555,7,0.363547682762146,10.601257364805544,112.38665771484376,37.25470590591431,1,
20221129,B2,7777,7,0.3025539815425873,8.822642016198781,77.8390121459961,36.85437798500061,1,
20221129,B3,42,7,0.2029400616884231,5.9178440194157504,35.020877838134766,462.2419373989105,1,
20221129,B3,123,7,0.2045598626136779,5.965079731947939,35.582176208496094,464.0488147735596,1,
20221129,B3,456,7,0.2055277824401855,5.993303376583696,35.91968536376953,464.7811861038208,1,
20221129,B3,789,7,0.1991823762655258,5.808267015966102,33.735965728759766,465.2006552219391,1,
20221129,B3,1024,7,0.2046401053667068,5.967419860583004,35.61009979248047,465.2306180000305,1,
20221129,B3,2048,7,0.1997269988059997,5.824150960055687,33.92073440551758,465.45977115631104,1,
20221129,B3,3000,7,0.2013484537601471,5.871431931066099,34.47371292114258,465.4518294334412,1,
